epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.87426,1.43292,3.94885,1.3776,0,0,0,0,0,0,0,0.00024,0.00024,0.00024
2,5.59944,1.41453,2.56669,1.24978,0,0,0,0,0,0,0,0.00049505,0.00049505,0.00049505
3,8.08802,1.38524,2.2738,1.23676,0,0,0,0,0,0,0,0.000744952,0.000744952,0.000744952
4,10.6982,1.39768,2.2114,1.22087,0,0,0,0,0,0,0,0.000989706,0.000989706,0.000989706
5,13.1923,1.43428,1.92308,1.22421,0,0,0,0,0,0,0,0.00122931,0.00122931,0.00122931
6,15.6524,1.43517,2.11422,1.29675,0,0,0,0,0,0,0,0.00146377,0.00146377,0.00146377
7,17.8718,1.39516,1.87616,1.29664,0,0,0,0,0,0,0,0.00169308,0.00169308,0.00169308
8,20.0173,1.38536,1.76326,1.25991,0,0,0,0,0,0,0,0.0018614,0.0018614,0.0018614
9,22.2561,1.4283,1.69056,1.25347,0,0,0,0,0,0,0,0.0018416,0.0018416,0.0018416
10,24.5539,1.45456,1.64659,1.29361,0,0,0,0,0,0,0,0.0018218,0.0018218,0.0018218
11,26.7535,1.42794,1.62442,1.28446,0,0,0,0,0,0,0,0.001802,0.001802,0.001802
12,29.1097,1.44559,1.55815,1.26769,0,0,0,0,0,0,0,0.0017822,0.0017822,0.0017822
13,31.3498,1.4386,1.44464,1.29672,0,0,0,0,0,0,0,0.0017624,0.0017624,0.0017624
14,33.5854,1.38404,1.39764,1.27,0,0,0,0,0,0,0,0.0017426,0.0017426,0.0017426
15,35.7488,1.4,1.43795,1.26687,0,0,0,0,0,0,0,0.0017228,0.0017228,0.0017228
16,37.9159,1.36217,1.3214,1.26953,0,0,0,0,0,0,0,0.001703,0.001703,0.001703
17,40.0946,1.36262,1.23889,1.26044,0,0,0,0,0,0,0,0.0016832,0.0016832,0.0016832
18,42.3087,1.28548,1.16246,1.24384,0,0,0,0,0,0,0,0.0016634,0.0016634,0.0016634
19,44.4823,1.30269,1.13574,1.2094,0,0,0,0,0,0,0,0.0016436,0.0016436,0.0016436
20,46.7191,1.36271,1.11601,1.22936,0,0,0,0,0,0,0,0.0016238,0.0016238,0.0016238
21,48.8271,1.33124,1.09699,1.20625,0,0,0,0,0,0,0,0.001604,0.001604,0.001604
22,50.9655,1.29342,1.01729,1.21609,0,0,0,0,0,0,0,0.0015842,0.0015842,0.0015842
23,53.1306,1.34797,1.09682,1.2485,0,0,0,0,0,0,0,0.0015644,0.0015644,0.0015644
24,55.6756,1.32791,1.02903,1.21742,0,0,0,0,0,0,0,0.0015446,0.0015446,0.0015446
25,58.1256,1.26493,1.03595,1.17985,0,0,0,0,0,0,0,0.0015248,0.0015248,0.0015248
26,60.6126,1.2288,0.97103,1.1989,0,0,0,0,0,0,0,0.001505,0.001505,0.001505
27,62.929,1.29089,1.0105,1.22122,0,0,0,0,0,0,0,0.0014852,0.0014852,0.0014852
28,65.2549,1.22195,1.03274,1.1708,0,0,0,0,0,0,0,0.0014654,0.0014654,0.0014654
29,67.5154,1.2716,0.98225,1.1725,0,0,0,0,0,0,0,0.0014456,0.0014456,0.0014456
30,69.8281,1.23556,0.94747,1.20108,0,0,0,0,0,0,0,0.0014258,0.0014258,0.0014258
31,72.0215,1.23089,0.90978,1.18013,0,0,0,0,0,0,0,0.001406,0.001406,0.001406
32,74.4167,1.20266,0.86135,1.16959,0,0,0,0,0,0,0,0.0013862,0.0013862,0.0013862
33,76.5969,1.21008,0.83158,1.15205,0,0,0,0,0,0,0,0.0013664,0.0013664,0.0013664
34,78.7485,1.18723,0.83851,1.17564,0,0,0,0,0,0,0,0.0013466,0.0013466,0.0013466
35,80.9263,1.15542,0.83848,1.13356,0,0,0,0,0,0,0,0.0013268,0.0013268,0.0013268
36,83.2144,1.20846,0.83946,1.13687,0,0,0,0,0,0,0,0.001307,0.001307,0.001307
37,85.5334,1.2104,0.80147,1.16189,0,0,0,0,0,0,0,0.0012872,0.0012872,0.0012872
38,87.974,1.18774,0.80317,1.16605,0,0,0,0,0,0,0,0.0012674,0.0012674,0.0012674
39,90.3035,1.13977,0.74893,1.11899,0,0,0,0,0,0,0,0.0012476,0.0012476,0.0012476
40,92.6512,1.09569,0.76761,1.12488,0,0,0,0,0,0,0,0.0012278,0.0012278,0.0012278
41,95.0981,1.08841,0.77882,1.09875,0,0,0,0,0,0,0,0.001208,0.001208,0.001208
42,97.6048,1.12182,0.75602,1.12711,0,0,0,0,0,0,0,0.0011882,0.0011882,0.0011882
43,99.9438,1.13761,0.78951,1.1153,0,0,0,0,0,0,0,0.0011684,0.0011684,0.0011684
44,102.262,1.0756,0.73773,1.1009,0,0,0,0,0,0,0,0.0011486,0.0011486,0.0011486
45,104.601,1.09237,0.72425,1.11703,0,0,0,0,0,0,0,0.0011288,0.0011288,0.0011288
46,106.847,1.19821,0.81224,1.14437,0,0,0,0,0,0,0,0.001109,0.001109,0.001109
47,109.091,1.07732,0.73445,1.09081,0,0,0,0,0,0,0,0.0010892,0.0010892,0.0010892
48,111.219,1.07957,0.71847,1.11756,0,0,0,0,0,0,0,0.0010694,0.0010694,0.0010694
49,113.5,1.07308,0.72018,1.11568,0,0,0,0,0,0,0,0.0010496,0.0010496,0.0010496
50,115.778,1.12196,0.73395,1.14084,0,0,0,0,0,0,0,0.0010298,0.0010298,0.0010298
51,118.36,1.04383,0.6948,1.11638,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
52,120.509,1.09666,0.74351,1.10025,0,0,0,0,0,0,0,0.0009902,0.0009902,0.0009902
53,122.619,1.01284,0.6586,1.09119,0,0,0,0,0,0,0,0.0009704,0.0009704,0.0009704
54,124.811,1.04118,0.67079,1.08125,0,0,0,0,0,0,0,0.0009506,0.0009506,0.0009506
55,127.144,1.06023,0.68063,1.07051,0,0,0,0,0,0,0,0.0009308,0.0009308,0.0009308
56,129.564,1.03061,0.66472,1.07563,0,0,0,0,0,0,0,0.000911,0.000911,0.000911
57,131.917,1.04001,0.6614,1.11067,0,0,0,0,0,0,0,0.0008912,0.0008912,0.0008912
58,134.19,1.0845,0.71143,1.11969,0,0,0,0,0,0,0,0.0008714,0.0008714,0.0008714
59,136.494,1.02199,0.68372,1.06604,0,0,0,0,0,0,0,0.0008516,0.0008516,0.0008516
60,138.678,0.99675,0.64242,1.05484,0,0,0,0,0,0,0,0.0008318,0.0008318,0.0008318
61,140.896,1.04002,0.65578,1.09176,0,0,0,0,0,0,0,0.000812,0.000812,0.000812
62,143.228,0.9838,0.62276,1.03981,0,0,0,0,0,0,0,0.0007922,0.0007922,0.0007922
63,145.585,0.99612,0.62888,1.04001,0,0,0,0,0,0,0,0.0007724,0.0007724,0.0007724
64,147.789,1.00544,0.64691,1.06143,0,0,0,0,0,0,0,0.0007526,0.0007526,0.0007526
65,149.898,1.06688,0.65828,1.09202,0,0,0,0,0,0,0,0.0007328,0.0007328,0.0007328
66,151.911,1.01996,0.62964,1.04134,0,0,0,0,0,0,0,0.000713,0.000713,0.000713
67,154.02,0.96162,0.5846,1.03622,0,0,0,0,0,0,0,0.0006932,0.0006932,0.0006932
68,156.257,1.02416,0.64169,1.07998,0,0,0,0,0,0,0,0.0006734,0.0006734,0.0006734
69,158.448,1.00455,0.62677,1.04186,0,0,0,0,0,0,0,0.0006536,0.0006536,0.0006536
70,160.601,0.95752,0.6203,1.07707,0,0,0,0,0,0,0,0.0006338,0.0006338,0.0006338
71,162.804,0.92626,0.59409,1.01843,0,0,0,0,0,0,0,0.000614,0.000614,0.000614
72,165.037,0.93543,0.60374,1.03875,0,0,0,0,0,0,0,0.0005942,0.0005942,0.0005942
73,167.237,0.94842,0.59909,1.04306,0,0,0,0,0,0,0,0.0005744,0.0005744,0.0005744
74,169.394,0.92166,0.59062,1.04049,0,0,0,0,0,0,0,0.0005546,0.0005546,0.0005546
75,171.965,0.93557,0.56287,1.04308,0,0,0,0,0,0,0,0.0005348,0.0005348,0.0005348
76,174.591,0.90972,0.56935,1.00255,0,0,0,0,0,0,0,0.000515,0.000515,0.000515
77,177.055,0.90711,0.58172,1.02876,0,0,0,0,0,0,0,0.0004952,0.0004952,0.0004952
78,179.419,0.90666,0.57705,1.03876,0,0,0,0,0,0,0,0.0004754,0.0004754,0.0004754
79,181.756,0.87626,0.55508,1.0182,0,0,0,0,0,0,0,0.0004556,0.0004556,0.0004556
80,184.077,0.8808,0.5667,1.04002,0,0,0,0,0,0,0,0.0004358,0.0004358,0.0004358
81,186.306,0.86619,0.56013,1.00786,0,0,0,0,0,0,0,0.000416,0.000416,0.000416
82,188.746,0.88196,0.53827,0.98905,0,0,0,0,0,0,0,0.0003962,0.0003962,0.0003962
83,191.204,0.85926,0.54014,1.00111,0,0,0,0,0,0,0,0.0003764,0.0003764,0.0003764
84,193.47,0.90592,0.57158,1.04142,0,0,0,0,0,0,0,0.0003566,0.0003566,0.0003566
85,195.672,0.85346,0.54662,1.0105,0,0,0,0,0,0,0,0.0003368,0.0003368,0.0003368
86,197.924,0.8738,0.54746,1.0165,0,0,0,0,0,0,0,0.000317,0.000317,0.000317
87,200.339,0.85638,0.54432,1.0285,0,0,0,0,0,0,0,0.0002972,0.0002972,0.0002972
88,202.834,0.81338,0.5319,0.99248,0,0,0,0,0,0,0,0.0002774,0.0002774,0.0002774
89,205.211,0.82336,0.508,1.01532,0,0,0,0,0,0,0,0.0002576,0.0002576,0.0002576
90,207.607,0.83875,0.50614,0.9825,0,0,0,0,0,0,0,0.0002378,0.0002378,0.0002378
91,231.092,0.80254,0.49661,1.0086,0,0,0,0,0,0,0,0.000218,0.000218,0.000218
92,233.182,0.76891,0.50017,0.96334,0,0,0,0,0,0,0,0.0001982,0.0001982,0.0001982
93,235.372,0.79058,0.48818,0.96995,0,0,0,0,0,0,0,0.0001784,0.0001784,0.0001784
