epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.1676,1.34071,2.83212,1.25213,0.98381,0.44523,0.73199,0.45249,1.30168,2.89676,1.08173,0.00329114,0.00329114,0.00329114
2,39.2495,1.3284,1.49123,1.15943,0.90489,0.74908,0.8351,0.48993,1.39011,1.32423,1.20598,0.00660808,0.00660808,0.00660808
3,57.63,1.349,1.21937,1.17839,0.62774,0.5868,0.565,0.32461,1.46688,2.08377,1.29786,0.00990851,0.00990851,0.00990851
4,75.8502,1.39477,1.1094,1.21964,0.80619,0.71429,0.77317,0.47097,1.42848,1.1749,1.33955,0.00992575,0.00992575,0.00992575
5,94.5956,1.38308,0.99562,1.22441,0.8675,0.69546,0.79665,0.454,1.46481,1.5276,1.29792,0.009901,0.009901,0.009901
6,113.39,1.36532,0.9474,1.23091,0.91065,0.78205,0.85358,0.46631,1.48936,1.04011,1.3442,0.00987625,0.00987625,0.00987625
7,132.174,1.37305,0.93875,1.23078,0.93207,0.74725,0.83651,0.5096,1.38801,1.00945,1.29071,0.0098515,0.0098515,0.0098515
8,151.131,1.35643,0.90075,1.22054,0.85387,0.7381,0.7984,0.48505,1.42589,1.08731,1.2779,0.00982675,0.00982675,0.00982675
9,169.522,1.33628,0.87087,1.22312,0.90234,0.79533,0.85024,0.53676,1.34767,0.85675,1.24637,0.009802,0.009802,0.009802
10,188.069,1.33888,0.84378,1.21463,0.9092,0.76557,0.84422,0.47634,1.488,0.94917,1.34579,0.00977725,0.00977725,0.00977725
11,206.513,1.29729,0.81066,1.18631,0.93214,0.80586,0.86275,0.55074,1.3271,0.86406,1.22894,0.0097525,0.0097525,0.0097525
12,225.035,1.31006,0.82124,1.20262,0.92161,0.77656,0.85574,0.54321,1.31971,0.88652,1.22965,0.00972775,0.00972775,0.00972775
13,243.601,1.28419,0.77978,1.18508,0.91028,0.799,0.87496,0.55407,1.30317,0.79478,1.22056,0.009703,0.009703,0.009703
14,262.712,1.31292,0.78403,1.19979,0.92303,0.81261,0.88314,0.55032,1.30749,0.75648,1.21617,0.00967825,0.00967825,0.00967825
15,281.453,1.29481,0.7787,1.19157,0.94724,0.82784,0.90161,0.56307,1.31683,0.72775,1.2115,0.0096535,0.0096535,0.0096535
16,300.141,1.27994,0.76187,1.19276,0.90195,0.84432,0.88936,0.56188,1.31362,0.74155,1.21679,0.00962875,0.00962875,0.00962875
17,319.185,1.28497,0.75324,1.1853,0.92695,0.81336,0.88465,0.55638,1.3245,0.72288,1.24591,0.009604,0.009604,0.009604
18,337.373,1.27487,0.74869,1.18467,0.93597,0.87546,0.91642,0.57823,1.29979,0.67422,1.22062,0.00957925,0.00957925,0.00957925
19,356.01,1.26956,0.73921,1.18784,0.93017,0.85531,0.90676,0.57894,1.29121,0.69362,1.21754,0.0095545,0.0095545,0.0095545
20,374.28,1.26132,0.72575,1.17919,0.96365,0.82547,0.89996,0.57225,1.29381,0.70675,1.19995,0.00952975,0.00952975,0.00952975
21,392.455,1.26232,0.7221,1.16729,0.95659,0.82051,0.89779,0.56659,1.30956,0.70512,1.21389,0.009505,0.009505,0.009505
22,410.823,1.23317,0.70171,1.15491,0.95015,0.83776,0.9,0.58616,1.23525,0.6759,1.17692,0.00948025,0.00948025,0.00948025
23,429.334,1.26515,0.7222,1.17108,0.90824,0.83395,0.88996,0.52828,1.3896,0.73266,1.30455,0.0094555,0.0094555,0.0094555
24,448.196,1.23396,0.70941,1.15326,0.91691,0.82867,0.907,0.59067,1.24051,0.64251,1.18705,0.00943075,0.00943075,0.00943075
25,466.99,1.22315,0.68431,1.16265,0.90138,0.88828,0.91946,0.59699,1.24012,0.67767,1.18502,0.009406,0.009406,0.009406
26,485.419,1.22688,0.68467,1.16942,0.94675,0.83883,0.91159,0.59825,1.24024,0.64888,1.18659,0.00938125,0.00938125,0.00938125
27,503.614,1.2376,0.69986,1.17357,0.94084,0.84464,0.89882,0.58409,1.25869,0.66518,1.20639,0.0093565,0.0093565,0.0093565
28,522.063,1.21479,0.67845,1.15743,0.94142,0.86264,0.91139,0.59399,1.25749,0.63058,1.18389,0.00933175,0.00933175,0.00933175
29,540.135,1.21608,0.68296,1.15207,0.96854,0.84582,0.91303,0.60542,1.22322,0.62836,1.1762,0.009307,0.009307,0.009307
30,558.618,1.2314,0.67859,1.15962,0.93359,0.84959,0.90805,0.58934,1.25447,0.6457,1.183,0.00928225,0.00928225,0.00928225
31,576.996,1.20296,0.68504,1.14861,0.93088,0.86325,0.91222,0.58559,1.26066,0.64689,1.1876,0.0092575,0.0092575,0.0092575
32,595.292,1.21698,0.67309,1.15303,0.95756,0.80586,0.86845,0.55523,1.31799,0.72462,1.21512,0.00923275,0.00923275,0.00923275
33,614.399,1.20927,0.66887,1.14043,0.92641,0.88278,0.91297,0.59612,1.23937,0.60604,1.18505,0.009208,0.009208,0.009208
34,633.183,1.20973,0.66674,1.14792,0.95922,0.82784,0.91273,0.59107,1.24057,0.61448,1.1721,0.00918325,0.00918325,0.00918325
35,651.365,1.20997,0.6548,1.14772,0.95849,0.85531,0.92882,0.60687,1.23888,0.60221,1.17936,0.0091585,0.0091585,0.0091585
36,669.771,1.18683,0.64316,1.13469,0.93492,0.87546,0.93784,0.60242,1.24343,0.59711,1.17384,0.00913375,0.00913375,0.00913375
37,688.131,1.20269,0.65433,1.15191,0.9641,0.8663,0.92687,0.58046,1.30109,0.6103,1.19842,0.009109,0.009109,0.009109
38,706.653,1.19506,0.65823,1.14454,0.9524,0.85348,0.92363,0.60831,1.21013,0.58722,1.15795,0.00908425,0.00908425,0.00908425
39,724.93,1.18892,0.63621,1.135,0.94012,0.87729,0.92316,0.60361,1.22384,0.58315,1.17566,0.0090595,0.0090595,0.0090595
40,743.983,1.19802,0.63463,1.14897,0.96028,0.8856,0.9331,0.61116,1.20629,0.58191,1.16184,0.00903475,0.00903475,0.00903475
41,762.648,1.19439,0.63286,1.14633,0.9585,0.87729,0.93688,0.62101,1.20082,0.59521,1.16013,0.00901,0.00901,0.00901
42,781.543,1.18008,0.63491,1.14569,0.96011,0.83758,0.91856,0.60415,1.20702,0.61171,1.16914,0.00898525,0.00898525,0.00898525
43,800.076,1.1686,0.63261,1.12796,0.97126,0.85897,0.93171,0.61311,1.22686,0.56093,1.17576,0.0089605,0.0089605,0.0089605
44,819.031,1.18019,0.64606,1.13272,0.95636,0.86447,0.92584,0.61613,1.2056,0.58809,1.14952,0.00893575,0.00893575,0.00893575
45,837.346,1.16398,0.617,1.12448,0.95696,0.89583,0.93962,0.61614,1.21063,0.57246,1.17019,0.008911,0.008911,0.008911
46,855.373,1.16809,0.62177,1.11561,0.97009,0.89106,0.94461,0.61983,1.22637,0.56374,1.16239,0.00888625,0.00888625,0.00888625
47,874.112,1.17734,0.62609,1.13041,0.93538,0.90133,0.94052,0.61211,1.20757,0.5701,1.15972,0.0088615,0.0088615,0.0088615
48,892.301,1.1926,0.63231,1.14617,0.95324,0.88095,0.93391,0.61973,1.20672,0.56977,1.16232,0.00883675,0.00883675,0.00883675
49,910.636,1.18028,0.62673,1.1295,0.94685,0.88088,0.92785,0.60639,1.21734,0.59622,1.15937,0.008812,0.008812,0.008812
50,929.422,1.16592,0.61463,1.12528,0.96744,0.8706,0.93545,0.61903,1.22306,0.54859,1.17381,0.00878725,0.00878725,0.00878725
51,948.102,1.16092,0.61243,1.12757,0.93997,0.88902,0.93266,0.61094,1.21294,0.58519,1.15891,0.0087625,0.0087625,0.0087625
52,966.739,1.1689,0.62108,1.12962,0.93574,0.87729,0.92664,0.59712,1.26262,0.59308,1.17804,0.00873775,0.00873775,0.00873775
53,985.389,1.14204,0.60162,1.09905,0.93915,0.87624,0.93007,0.60342,1.23689,0.58137,1.16881,0.008713,0.008713,0.008713
54,1003.71,1.15379,0.60057,1.11999,0.95477,0.88462,0.93176,0.6212,1.20896,0.57924,1.14931,0.00868825,0.00868825,0.00868825
55,1022.03,1.15335,0.59982,1.11526,0.95984,0.87538,0.93511,0.61478,1.20925,0.55541,1.15567,0.0086635,0.0086635,0.0086635
56,1040.83,1.1303,0.59818,1.1103,0.94488,0.87912,0.9342,0.61159,1.22553,0.5749,1.17053,0.00863875,0.00863875,0.00863875
57,1059.26,1.17187,0.61378,1.12535,0.9458,0.90659,0.94263,0.62687,1.1858,0.54912,1.13515,0.008614,0.008614,0.008614
58,1077.67,1.14893,0.59396,1.12274,0.95709,0.8987,0.9349,0.62826,1.1886,0.54521,1.14228,0.00858925,0.00858925,0.00858925
59,1096.03,1.12583,0.58201,1.09687,0.95617,0.91886,0.94213,0.62616,1.17156,0.53288,1.13654,0.0085645,0.0085645,0.0085645
60,1114.55,1.13665,0.58954,1.10679,0.96063,0.89372,0.93935,0.62903,1.17621,0.55434,1.13009,0.00853975,0.00853975,0.00853975
61,1132.72,1.13736,0.58002,1.10972,0.95024,0.91392,0.94558,0.62372,1.20165,0.53351,1.14914,0.008515,0.008515,0.008515
62,1151.22,1.13715,0.59141,1.09705,0.95794,0.87603,0.93026,0.62165,1.18769,0.551,1.14757,0.00849025,0.00849025,0.00849025
63,1169.7,1.14019,0.60113,1.10527,0.95514,0.88828,0.9383,0.62726,1.18546,0.52976,1.14858,0.0084655,0.0084655,0.0084655
64,1187.99,1.12532,0.56904,1.10653,0.96824,0.88095,0.94139,0.63034,1.17474,0.54479,1.13945,0.00844075,0.00844075,0.00844075
65,1206.6,1.14554,0.59134,1.10937,0.96596,0.88351,0.93948,0.63104,1.16902,0.53721,1.13267,0.008416,0.008416,0.008416
66,1225.03,1.13028,0.57863,1.10166,0.95608,0.87713,0.93692,0.62777,1.18152,0.53365,1.14781,0.00839125,0.00839125,0.00839125
67,1243.61,1.12581,0.57197,1.10056,0.96704,0.88462,0.93917,0.63043,1.18035,0.53537,1.14504,0.0083665,0.0083665,0.0083665
68,1261.86,1.11905,0.58098,1.0928,0.96527,0.88462,0.9358,0.62135,1.19124,0.53739,1.14253,0.00834175,0.00834175,0.00834175
69,1280.53,1.12666,0.58827,1.10337,0.96757,0.87433,0.93789,0.62017,1.20272,0.54683,1.15141,0.008317,0.008317,0.008317
70,1298.78,1.12769,0.57793,1.09652,0.95924,0.90515,0.94583,0.6351,1.18594,0.51188,1.13745,0.00829225,0.00829225,0.00829225
71,1317.43,1.11439,0.56816,1.09574,0.94571,0.89377,0.94759,0.62791,1.19401,0.53865,1.1597,0.0082675,0.0082675,0.0082675
72,1336.13,1.11943,0.55902,1.10288,0.96704,0.89744,0.94656,0.63533,1.17655,0.51605,1.13791,0.00824275,0.00824275,0.00824275
73,1354.78,1.12084,0.57128,1.10483,0.96459,0.89805,0.93935,0.63032,1.16007,0.52991,1.13372,0.008218,0.008218,0.008218
74,1373.32,1.13422,0.57744,1.1,0.94956,0.89651,0.93968,0.6361,1.1772,0.5293,1.1441,0.00819325,0.00819325,0.00819325
75,1391.81,1.10728,0.56925,1.08619,0.97026,0.89628,0.9467,0.6368,1.1731,0.51275,1.14152,0.0081685,0.0081685,0.0081685
76,1410.45,1.10042,0.55147,1.08891,0.96836,0.89678,0.93573,0.62253,1.19378,0.52501,1.15165,0.00814375,0.00814375,0.00814375
77,1428.97,1.09153,0.54462,1.09184,0.96881,0.8956,0.94832,0.63326,1.17333,0.50254,1.14724,0.008119,0.008119,0.008119
78,1447.72,1.10426,0.56026,1.08823,0.96848,0.90029,0.93996,0.63177,1.16771,0.52342,1.13139,0.00809425,0.00809425,0.00809425
79,1466.54,1.10044,0.56034,1.08933,0.93595,0.90993,0.94158,0.63175,1.18205,0.50659,1.13109,0.0080695,0.0080695,0.0080695
80,1485.03,1.09433,0.5549,1.08431,0.9484,0.90293,0.94657,0.63091,1.19183,0.50984,1.14551,0.00804475,0.00804475,0.00804475
81,1503.78,1.07796,0.53981,1.0782,0.95535,0.88278,0.93703,0.63199,1.16989,0.5082,1.13782,0.00802,0.00802,0.00802
82,1521.99,1.10725,0.54609,1.0951,0.96399,0.88242,0.94201,0.63517,1.1697,0.50047,1.13277,0.00799525,0.00799525,0.00799525
83,1540.51,1.10269,0.55499,1.08093,0.96476,0.90266,0.95012,0.64377,1.17643,0.51699,1.14172,0.0079705,0.0079705,0.0079705
