epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2792,1.47254,4.43974,1.92332,0.87113,0.57589,0.72034,0.54468,0.87216,1.87301,1.48299,0.00062,0.00062,0.00062
2,29.7637,1.0029,1.41772,1.67963,0.89182,0.73573,0.80298,0.63034,0.89298,1.06576,1.55576,0.00125688,0.00125688,0.00125688
3,42.8945,0.97295,1.04301,1.68471,0.59369,0.6402,0.54355,0.39148,0.97621,1.55594,1.59572,0.00189059,0.00189059,0.00189059
4,55.6858,0.99159,0.92362,1.71772,0.33239,0.47262,0.26553,0.20508,0.86868,3.40376,1.5767,0.00198515,0.00198515,0.00198515
5,68.4601,0.96806,0.87727,1.63157,0.87161,0.75254,0.81563,0.60515,0.93163,1.36401,1.69313,0.0019802,0.0019802,0.0019802
6,81.2832,0.93275,0.81869,1.64504,0.89325,0.73428,0.83476,0.64483,0.87554,0.91257,1.56863,0.00197525,0.00197525,0.00197525
7,94.0153,0.88984,0.75777,1.60827,0.88087,0.8099,0.87355,0.68352,0.84394,0.76424,1.49012,0.0019703,0.0019703,0.0019703
8,107.254,0.88101,0.72913,1.57158,0.95399,0.6572,0.75263,0.6067,0.89231,1.09548,1.53492,0.00196535,0.00196535,0.00196535
9,120.177,0.87496,0.71891,1.5605,0.90967,0.73541,0.84044,0.63965,0.87522,0.9525,1.51505,0.0019604,0.0019604,0.0019604
10,133.184,0.87868,0.71221,1.57944,0.9024,0.80527,0.88644,0.69583,0.83799,0.78175,1.58507,0.00195545,0.00195545,0.00195545
11,146.296,0.88098,0.73748,1.62209,0.85541,0.78702,0.86985,0.65862,0.86213,0.79174,1.47681,0.0019505,0.0019505,0.0019505
12,159.195,0.86354,0.72317,1.61376,0.90866,0.71805,0.82824,0.65543,0.81165,0.88211,1.55669,0.00194555,0.00194555,0.00194555
13,172.077,0.85808,0.70634,1.59548,0.92923,0.77241,0.86148,0.66896,0.84655,0.74317,1.63614,0.0019406,0.0019406,0.0019406
14,184.669,0.84687,0.6769,1.55365,0.94458,0.79513,0.88643,0.70077,0.82699,0.75598,1.43185,0.00193565,0.00193565,0.00193565
15,197.193,0.82469,0.66891,1.53825,0.93632,0.7931,0.88486,0.6816,0.82378,0.74306,1.43084,0.0019307,0.0019307,0.0019307
16,209.893,0.86032,0.69484,1.58188,0.95526,0.77964,0.85734,0.69085,0.76953,0.88657,1.60183,0.00192575,0.00192575,0.00192575
17,222.463,0.85831,0.65593,1.56677,0.95119,0.7931,0.89149,0.71378,0.76661,0.67067,1.44705,0.0019208,0.0019208,0.0019208
18,235.171,0.82187,0.6071,1.53643,0.88829,0.85193,0.90787,0.72088,0.77118,0.665,1.38291,0.00191585,0.00191585,0.00191585
19,247.858,0.81953,0.65425,1.56563,0.90945,0.81489,0.87559,0.67447,0.85528,0.73415,1.44163,0.0019109,0.0019109,0.0019109
20,260.445,0.83058,0.67783,1.57475,0.88512,0.82828,0.88647,0.69558,0.80759,0.74458,1.55806,0.00190595,0.00190595,0.00190595
21,273.155,0.80815,0.63501,1.5663,0.95617,0.79655,0.899,0.72979,0.71744,0.60878,1.45356,0.001901,0.001901,0.001901
22,286.2,0.81998,0.64266,1.56482,0.89571,0.83623,0.89472,0.6973,0.79644,0.64798,1.66303,0.00189605,0.00189605,0.00189605
23,299.043,0.80197,0.61648,1.55818,0.91569,0.84787,0.90606,0.72937,0.74788,0.64489,1.41656,0.0018911,0.0018911,0.0018911
24,311.641,0.76131,0.60084,1.48612,0.9426,0.8357,0.91427,0.7335,0.74493,0.61763,1.37719,0.00188615,0.00188615,0.00188615
25,324.195,0.77176,0.62626,1.48198,0.94858,0.73428,0.85278,0.69916,0.73462,0.73761,1.40054,0.0018812,0.0018812,0.0018812
